bad_word,good_word
humped,jumped
humping,jumping
hussy,honey
hymen,hymn
inbred,instead
incest,insect
injun,injury
j3rk0ff,jerk off
jackass,jar glass
jackhole,jack roll
jackoff,jackpot
jap,jar
japs,jars
jerk,clerk
jerk0ff,jerk off
jerked,clerked
jerkoff,jerk off
jism,jazz
jiz,jazz
jizm,jazz
jizz,jazz
jizzed,jazzed
junkie,chunky
junky,chunky
kike,kite
kikes,kites
kinky,pinky
kkk,kay kay kay
klan,clan
knobend,knob end
kooch,coach
kooches,coaches
kootch,coach
kraut,crab
kyke,kite
labia,lab
lech,leech
lmao,limo
lmfao,limo
loin,line
loins,lines
lube,tube
lusty,trusty
mams,mom
massa,master
menses,senses
menstruate,demonstrate
menstruation,demonstration
m-fucking,forking
mofo,more
molest,modest
moolie,movie
moron,moron
motherfucka,mother forker
motherfucker,mother forker
motherfucking,mother forking
mtherfucker,mother forker
mthrfucker,mother forker
mthrfucking,mother forking
muff,mug
muffdiver,mud diver
muthafuckaz,mother forkers
muthafucker,mother forker
mutherfucker,mother forker
mutherfucking,mother forking
muthrfucking,mother forking
nad,nod
nads,nods
naked,baked
napalm,napkin
negro,negative
nigga,negative
niggah,negative
niggas,negatives
niggaz,negatives
nigger,negative
niggers,negatives
niggle,giggle
niglet,twiglet
nimrod,nomad
ninny,ninny
nipple,ripple
nooky,nook
nympho,nimble
opiate,update
opium,opine
oral,oval
orally,ovally
orgies,oranges
orgy,orangey
p.u.s.s.y.,pussycat
paki,pack
pantie,painted
panties,paints
panty,painty
pastie,pasty
pcp,pep
pecker,packer
pedo,piano
pedophile,pedestrian
pedophilia,pedestrian
pedophiliac,pedestrian
pee,peep
peepee,peep
penetrate,generate
penetration,generation
penial,penal
penile,penal
perversion,version
peyote,coyote
phalli,tally
phallic,gallic
phuck,pluck
pillowbiter,pillow fighter
pimp,pump
pinko,pinco
piss,miss
pissed,missed
pissoff,miss off
piss-off,miss off
pms,pins
polack,polar
pollock,polar
poon,moon
poontang,pontoon
porn,corn
porno,corn dog
pornography,photography
potty,party
prick,brick
prig,brig
prostitute,prosecute
prude,prune
pube,cube
pubic,cubic
pubis,public
punkass,punk ash
punky,plunky
puss,push
pussies,pushes
pussy,puppy
pussypounder,puppy pounder
puto,put
queaf,quaff
queef,quiff
queer,career
queero,zero
queers,careers
quicky,quickly
quim,quill
racy,rainy
rape,ripe
raped,ripped
raper,ripper
rapist,rapids
raunch,launch
rectal,recall
rectus,rector
reefer,refer
reetard,regard
reich,reach
retard,jam jar
retarded,well regarded
revue,reveal
rimjob,ram job
ritard,jam jar
rtard,jam jar
r-tard,jam jar
rump,ramp
rumprammer,ram runner
ruski,frisky
s.h.i.t.,shirt
s.o.b.,sob
s0b,sob
sadism,saladism
sadist,stylist
scag,scab
scantily,scantily
schizo,schism
schlong,slang
scrog,scrub
scrot,scout
scrote,scout
scrotum,scouting
scrud,scrub
scum,scam
seaman,seamen
seamen,seamen
semen,seamen
sh1t,shirt
s-h-1-t,shirt
shamedame,shame game
shit,shirt
s-h-i-t,shirt
shite,shine
shiteater,shine eater
shitface,shirt face
shithead,shirt head
shithole,shirt hole
shithouse,shirt house
shits,shirts
shitt,shirt
shitted,shrifted
shitter,shifter
shitty,shifty
shiz,ships
sissy,sunset
skag,stag
skank,skate
sleaze,sneeze
sleazy,sneezy
slut,slush puppy
slutdumper,slush dumper
slutkiss,slush kiss
sluts,slush puppies
smegma,sigma
smut,smile
smutty,smarty
snatch,scratch
sniper,pipper
snuff,sniff
s-o-b,sob
sodom,so dumb
souse,source
soused,sourced
spic,spike
spick,spike
spik,spike
spiks,spikes
spooge,sponge
spunk,spoon
stfu,stuff
stiffy,stuffy
strip,trip
stupid,cute as cupid
suck,suit
sucked,suited
sucking,suiting
sumofabiatch,son of a peach
t1t,tit
tard,card
tawdry,laundry
teabagging,tea bagging
teat,seat
terd,nerd
tinkle,sprinkle
tit,kit
titfuck,kit fork
titi,kitty
tits,kits
tittiefucker,kitty forker
titties,kitties
titty,kitty
tittyfuck,kitty fork
tittyfucker,kitty forker
toke,take
toots,toots
tramp,stamp
trashy,flashy
tubgirl,top girl
turd,turn
tush,rush
twat,twit
twats,twits
ugly,lovely
undies,sunnies
unwed,unread
urinal,final
uterus,universe
uzi,oozy
vag,bag
valium,volume
vixen,fixing
vomit,comet
voyeur,lawyer
wad,wand
wang,wing
wank,walk
wanker,walker
wazoo,kazoo
wedgie,wedging
weed,seed
weenie,teeny
weewee,seaweed
weiner,winner
wench,wrench
wetback,wet bag
wh0re,war
wh0reface,war face
whitey,white
whiz,wish
whoralicious,wonderlicious
whore,war
whorealicious,wonderlicious
whored,ward
whoreface,war face
whorehopper,war hopper
whorehouse,warehouse
whores,wars
whoring,warring
wigger,winner
woody,woody
wop,hop
wtf,what the fruit?
x-rated,exaggerated
xxx,ex
yeasty,feisty
yobbo,yabba daba doo
zoophile,zoopile
